token_0,BIO_tag_0,token_1,BIO_tag_1,token_2,BIO_tag_2,token_3,BIO_tag_3,token_4,BIO_tag_4,token_5,BIO_tag_5,token_6,BIO_tag_6,token_7,BIO_tag_7,token_8,BIO_tag_8,token_9,BIO_tag_9,token_10,BIO_tag_10,token_11,BIO_tag_11,token_12,BIO_tag_12,token_13,BIO_tag_13,token_14,BIO_tag_14,token_15,BIO_tag_15,token_16,BIO_tag_16,token_17,BIO_tag_17,token_18,BIO_tag_18,token_19,BIO_tag_19,token_20,BIO_tag_20,token_21,BIO_tag_21,token_22,BIO_tag_22,token_23,BIO_tag_23,token_24,BIO_tag_24,token_25,BIO_tag_25,token_26,BIO_tag_26,token_27,BIO_tag_27,token_28,BIO_tag_28,token_29,BIO_tag_29,token_30,BIO_tag_30,token_31,BIO_tag_31,token_32,BIO_tag_32,token_33,BIO_tag_33,token_34,BIO_tag_34,token_35,BIO_tag_35,token_36,BIO_tag_36,token_37,BIO_tag_37,token_38,BIO_tag_38,token_39,BIO_tag_39,token_40,BIO_tag_40,token_41,BIO_tag_41,token_42,BIO_tag_42,token_43,BIO_tag_43,token_44,BIO_tag_44,token_45,BIO_tag_45,token_46,BIO_tag_46,token_47,BIO_tag_47,token_48,BIO_tag_48,token_49,BIO_tag_49,token_50,BIO_tag_50,token_51,BIO_tag_51,token_52,BIO_tag_52,token_53,BIO_tag_53,token_54,BIO_tag_54,token_55,BIO_tag_55,token_56,BIO_tag_56,token_57,BIO_tag_57,token_58,BIO_tag_58,token_59,BIO_tag_59,token_60,BIO_tag_60,token_61,BIO_tag_61,token_62,BIO_tag_62,token_63,BIO_tag_63,token_64,BIO_tag_64,token_65,BIO_tag_65,token_66,BIO_tag_66,token_67,BIO_tag_67,token_68,BIO_tag_68,token_69,BIO_tag_69,token_70,BIO_tag_70,token_71,BIO_tag_71,token_72,BIO_tag_72,token_73,BIO_tag_73,token_74,BIO_tag_74,token_75,BIO_tag_75,token_76,BIO_tag_76,token_77,BIO_tag_77,token_78,BIO_tag_78,token_79,BIO_tag_79,token_80,BIO_tag_80,token_81,BIO_tag_81,token_82,BIO_tag_82,token_83,BIO_tag_83,token_84,BIO_tag_84,token_85,BIO_tag_85,token_86,BIO_tag_86,token_87,BIO_tag_87,token_88,BIO_tag_88,token_89,BIO_tag_89,token_90,BIO_tag_90,token_91,BIO_tag_91,token_92,BIO_tag_92,token_93,BIO_tag_93,token_94,BIO_tag_94,token_95,BIO_tag_95,token_96,BIO_tag_96,token_97,BIO_tag_97,token_98,BIO_tag_98
 ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,(,, ,O, ,O, ,O, ,O,56,, ,O, ,O, ,O, ,O, ,O,(,,mengimbau,,kasus,, ,O, ,O,-,O,terus,,Provinsi,,demam,,8,,Bekasi,,dengue,,COVID,,dengue,,),, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,",",O,di,O,beberapa,,kelurahan,,ketiga,,korban,,Desa,,gempa,,3,,warga,, ,O,terhadap,O,salah,,ini,O, ,O, ,O,",",O, ,O,daftar,,pasien,, ,O, ,O,Cianjur,, ,O,(,,Kelas,,beban,,),,menular,,dihimpun,,sudah,O,bukanlah,, ,O,di,O,Pembangunan,,di,O,Lombok,,di,O,dalam,O, ,O,kawasan,,seluruh,, ,O,di,O,masalah,,Tengah,,",",O,data,, ,O, ,O, ,O, ,O, ,O, ,O,-,O
Jawa,,Pencegahan,,orang,,Dinas,,karena,O,penyakit,,Tasikmalaya,,demam,,Januari,, ,O,2020,,dengue,,melanda,,orang,,),,warga,,berdarah,,demam,,yang,O,kematian,,DBD,, ,O, ,O,hingga,,Guluh,,27,, ,O, ,O, ,O, ,O, ,O, ,O,-,O, ,O, ,O,Jalan,,asal,,gempa,,Pertanian,,pengungsi,,Partai,,Desa,,hari,,Timur,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,dan,O, ,O, ,O, ,O,(,,10,, ,O,menjadi,, ,O, ,O,ini,O,penyakit,, ,O,TB,,Jokowi,, ,O, ,O, ,O, ,O, ,O, ,O, ,O,TBC,, ,O, ,O, ,O,",",O, ,O, ,O,paniculata,, ,O, ,O,Selatan,, ,O, ,O,",",O, ,O, ,O,Kota,,kusta,,warga,,kusta,,kusta,,ini,O,gara,
 ,O, ,O, ,O, ,O, ,O, ,O,",",O, ,O, ,O,DBD,,",",O, ,O, ,O, ,O,",",O, ,O, ,O, ,O, ,O, ,O,),,agar,O,DBD,, ,O, ,O, ,O,terjadi,,Jawa,,berdarah,,tahun,,mengungkap,,(,,19,,(,,RI,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,",",O,putra,,Kecamatan,,desa,,Klatak,,bencana,,tsunami,,Buluh,,yang,O,desa,,korban,, ,O,virus,,satu,,tercatat,,ODHA,, ,O,diperkirakan,, ,O,negara,,tuberkulosis,,",",O, ,O,belum,O,),,),,II,,penyakit,,Tulungagung,,di,O,Kementerian,,menjadi,,penyakit,,),,Lombok,,Manusia,,Lombok,, ,O,Lombok,,menurunkan,,),,Afrika,,wilayah,,",",O,Pulau,,kesehatan,, ,O,Badan,,dari,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O
Tengah,,dan,O,di,O,Kesehatan,,demam,,demam,, ,O,berdarah,,2020,,),, ,O,(,,kota,,warga,, ,O,Sumba,,di,O,berdarah,,terjadi,,tertinggi,, ,O, ,O, ,O,5,,Kota,,Januari,, ,O, ,O, ,O, ,O, ,O,DBD,,",",O,DBD,, ,O,Kebon,,Rusia,,Lombok,,Bogor,,yang,O,Hanura,,Bangunsari,,pasca,, ,O, ,O, ,O, ,O,",",O, ,O, ,O, ,O, ,O, ,O, ,O,gatal,, ,O, ,O, ,O,),,detik,, ,O,persoalan,, ,O, ,O, ,O,tuberkulosis,, ,O, ,O, ,O,-,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,Nusa,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,yang,O, ,O, ,O,Depok,,di,O,Kabupaten,,di,O,terbesar,,tercatat,,aksi,
 ,O, ,O, ,O, ,O, ,O, ,O,Jawa,, ,O,",",O, ,O,puluhan,, ,O, ,O, ,O,warga,, ,O, ,O, ,O, ,O, ,O,di,O,masyarakat,,di,O, ,O, ,O, ,O,di,O,Tengah,,dengue,,warga,,penyebaran,,),, ,O,),,mencatat,, ,O, ,O, ,O, ,O, ,O, ,O,",",O,-,O,Ngada,,Ketua,,Abeli,,yang,O, ,O,banjir,,Selat,,Cina,,tinggal,,di,O,banjir,,-,O,corona,,daerah,,menempati,, ,O, ,O,67.000,, ,O,dengan,O,yang,O,Pemerintah,, ,O,memiliki,,di,O,berpesan,,B,,menular,,menemukan,,masyarakat,,Kesehatan,,bahaya,,baru,,adalah,O,terjangkit,,dan,O,yang,O, ,O,Barat,,angka,,ternyata,,dipilih,,Indonesia,,berada,,Pahawang,,di,O, ,O,Penyelenggara,,Direktorat,, ,O, ,O, ,O, ,O, ,O, ,O, ,O
menyebut,,Penanggulangan,,Jawa,,Kabupaten,,berdarah,,berdarah,, ,O,dengue,, ,O,menyebar,, ,O,DBD,,Depok,,Nusa,, ,O,Timur,,Gresik,,dengue,,sejak,,akibat,, ,O, ,O, ,O,Februari,,Kolaka,,2015,, ,O, ,O, ,O, ,O, ,O, ,O,angka,, ,O, ,O,Pala,,bernama,,mulai,,(,,berobat,,DKI,, ,O,banjir,,",",O, ,O,",",O, ,O,Kecamatan,, ,O, ,O, ,O, ,O, ,O, ,O,gatal,, ,O, ,O, ,O,rentan,,dalam,O, ,O,serius,, ,O, ,O, ,O,masih,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,Tenggara,,",",O, ,O, ,O, ,O, ,O, ,O,",",O, ,O,dikenal,, ,O, ,O,mencatat,,Indonesia,,Bangkalan,,Indonesia,,di,O,ada,O,mengemis,
 ,O, ,O, ,O, ,O, ,O, ,O,Barat,, ,O,sebagian,, ,O,warga,,),, ,O, ,O,Kecamatan,, ,O,",",O, ,O, ,O, ,O,Kabupaten,,juga,O,Indonesia,, ,O,",",O,",",O,tengah,,mengimbau,,(,,Kelurahan,,kasus,,juga,O, ,O,di,O,ada,O,",",O, ,O, ,O,IPB,, ,O, ,O,Kecamatan,, ,O, ,O,Majelis,, ,O,ada,O, ,O,di,O,Sunda,,Kecamatan,,di,O,Porong,,mengungsi,, ,O,yang,O,dengan,O,urutan,, ,O, ,O,orang,, ,O,jumlah,,dirawat,,Kabupaten,, ,O,data,,Indonesia,,kepada,O,Tulungagung,,yang,O,1.200,,memang,,terungkap,,kesehatan,,di,O,penyakit,,malaria,,Kebudayaan,,terjangkit,, ,O, ,O,kasus,,tidak,O,untuk,O,bebas,,dalam,O, ,O,Indonesia,, ,O,Jaminan,,Jenderal,, ,O, ,O,",",O, ,O, ,O, ,O, ,O
ada,O,Penyakit,,Tengah,,Bekasi,,dengue,,(,,",",O,(,, ,O,dan,O, ,O, ,O,dan,O,Tenggara,, ,O,terkena,, ,O,(,,2018,,DBD,, ,O, ,O, ,O,2016,, ,O, ,O, ,O, ,O,DBD,, ,O, ,O, ,O,kasus,, ,O, ,O, ,O,Boris,,diserang,,),,ke,O,Jakarta,, ,O,bandang,,Sabu,, ,O,Kota,, ,O,Kalipuro,, ,O, ,O, ,O, ,O,",",O, ,O,paling,, ,O, ,O, ,O,tertular,,setiap,O, ,O,di,O, ,O, ,O, ,O,tinggi,, ,O, ,O, ,O, ,O, ,O, ,O, ,O,",",O, ,O, ,O, ,O,",",O, ,O, ,O,Barat,,Nusa,, ,O, ,O, ,O, ,O, ,O,Kabupaten,, ,O,sebagai,O, ,O, ,O,sudah,O,mencemaskan,, ,O,masih,O,Jawa,,4.293,,ke,O
 ,O, ,O, ,O, ,O, ,O, ,O, ,O,DBD,,wilayah,, ,O,terjangkit,,di,O, ,O, ,O,Bojongpicung,, ,O,Jawa,, ,O, ,O, ,O,Cirebon,,waspada,,dari,O,",",O,Sulawesi,,sudah,O,pandemi,,agar,O,),,Setiamanah,,demam,,patut,, ,O,Kabupaten,,68,,Kampung,, ,O, ,O, ,O, ,O,",",O,Patebon,, ,O, ,O,Syuro,, ,O,di,O, ,O,Kota,,yang,O,Siak,,tenda,, ,O,ke,O, ,O,saat,O,angka,,ketiga,, ,O, ,O,meninggal,, ,O,pasien,,di,O,Magelang,,.,,kasus,,berdasarkan,,kepala,,ditemukan,,cukup,,kasus,,bertambah,, ,O,global,,Indonesia,,serius,, ,O,(,,malaria,,",",O, ,O,malaria,,hanya,O,program,,malaria,,zona,, ,O,yang,O, ,O,Sosial,,Pencegahan,, ,O,.,,Jawa,, ,O, ,O, ,O, ,O
40,,(,,meninggal,,sepanjang,,(,,DBD,,terus,,),, ,O,memakan,, ,O, ,O,pergantian,,Timur,,",",O,demam,, ,O,DBD,,sampai,O,dicetak,,",",O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,",",O, ,O, ,O,demam,, ,O, ,O, ,O,Osmanov,,penyakit,,telah,O,Rumah,, ,O,",",O,yang,O,Raijua,, ,O,Kendari,, ,O,menderita,, ,O, ,O, ,O,-,O,Sidoarjo,, ,O,banyak,, ,O, ,O, ,O,penyakit,,hari,, ,O,Kota,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,.,,angka,,.,,",",O, ,O,petugas,,Kemenko,, ,O, ,O,Tenggara,, ,O, ,O, ,O, ,O, ,O,Pesawaran,, ,O,daerah,, ,O, ,O,ada,O, ,O, ,O,cukup,,Timur,,penderita,,jalan,
 ,O,P2P,, ,O, ,O, ,O,),, ,O, ,O,Jabodetabek,, ,O,demam,,Kepulauan,, ,O, ,O, ,O, ,O,Timur,,),, ,O, ,O, ,O,terhadap,O,minggu,,angka,,Tenggara,,ada,O,COVID,,masyarakat,,kian,, ,O,berdarah,,diwaspadai,, ,O,Sleman,,ribu,,Melayu,, ,O, ,O, ,O, ,O,Mohamad,, ,O, ,O, ,O,Partai,,",",O,Kabupaten,, ,O,Pakalongan,,terjadi,,Hulu,,tenda,,",",O,sejumlah,, ,O,ini,O,kemiskinan,,di,O, ,O,",",O,dunia,, ,O,tuberkulosis,,Rumah,,menganggarkan,,Menurut,O,Tuberkulosis,,data,,daerah,,tewas,,tinggi,,penderita,, ,O, ,O, ,O, ,O,yang,O, ,O, ,O,terus,,warga,, ,O,menggunakan,,mencegah,,vaksinasi,,pada,O,merah,,",",O,sejak,, ,O,(,,dan,O, ,O,Selain,O,Timur,, ,O, ,O, ,O, ,O
orang,,),,dunia,,Januari,,DBD,, ,O,berupaya,,di,O, ,O,korban,, ,O, ,O,musim,,(,,Kabupaten,,berdarah,,",",O, ,O,awal,,oleh,O,Jawa,, ,O, ,O, ,O,",",O, ,O,-,O, ,O, ,O,Kecamatan,, ,O, ,O,berdarah,, ,O, ,O,",",O,(,,diare,,memeriksa,,Sakit,, ,O,Kendal,,memporak,,dan,O, ,O, ,O, ,O,diare,,",",O, ,O, ,O, ,O, ,O, ,O,menjangkiti,, ,O, ,O, ,O,Tuberkulosis,, ,O, ,O,Bima,, ,O, ,O, ,O, ,O, ,O, ,O, ,O, ,O,.,, ,O,Namun,O,kejadian,,WHO,,tapi,O, ,O,kesehatan,,PMK,, ,O, ,O,Barat,, ,O,",",O, ,O, ,O, ,O, ,O, ,O,endemik,,BPJS,, ,O,33,, ,O,",",O,tinggi,,berasal,,kusta,,yang,O
 ,O, ,O, ,O, ,O,),,yang,O, ,O, ,O,lumpuh,, ,O,berdarah,,Riau,, ,O,NTT,, ,O, ,O, ,O,ditemukan,, ,O, ,O, ,O,Demam,,ke,O,penderita,, ,O,32,,19,,juga,O,meningkat,, ,O,dengue,,di,O, ,O,selama,,kasus,, ,O,45,,.,, ,O, ,O,Sangaji,,",",O,-,O, ,O,Keadilan,,Sulawesi,,Konawe,, ,O, ,O,pada,O,Kabupaten,,pengungsian,,sudah,O,lokasi,, ,O,sedang,,yang,O,dunia,, ,O,sebanyak,,karena,O,",",O,tertinggi,,Sakit,,dana,,data,,(,,Kementerian,,untuk,O,di,O, ,O,Tuberkulosis,, ,O, ,O, ,O, ,O,gampang,, ,O,),,bertambah,,Dusun,, ,O,sistem,, ,O,massal,,2030,,penyebaran,,Lampung,,dahulu,O, ,O,),,Pengendalian,, ,O,muncul,, ,O, ,O, ,O, ,O, ,O
