token_0,BIO_tag_0,token_1,BIO_tag_1,token_2,BIO_tag_2,token_3,BIO_tag_3,token_4,BIO_tag_4,token_5,BIO_tag_5,token_6,BIO_tag_6,token_7,BIO_tag_7,token_8,BIO_tag_8,token_9,BIO_tag_9,token_10,BIO_tag_10,token_11,BIO_tag_11,token_12,BIO_tag_12,token_13,BIO_tag_13,token_14,BIO_tag_14,token_15,BIO_tag_15,token_16,BIO_tag_16,token_17,BIO_tag_17,token_18,BIO_tag_18,token_19,BIO_tag_19,token_20,BIO_tag_20,token_21,BIO_tag_21,token_22,BIO_tag_22,token_23,BIO_tag_23,token_24,BIO_tag_24,token_25,BIO_tag_25,token_26,BIO_tag_26,token_27,BIO_tag_27,token_28,BIO_tag_28,token_29,BIO_tag_29,token_30,BIO_tag_30,token_31,BIO_tag_31,token_32,BIO_tag_32,token_33,BIO_tag_33,token_34,BIO_tag_34,token_35,BIO_tag_35,token_36,BIO_tag_36,token_37,BIO_tag_37,token_38,BIO_tag_38,token_39,BIO_tag_39,token_40,BIO_tag_40,token_41,BIO_tag_41,token_42,BIO_tag_42,token_43,BIO_tag_43,token_44,BIO_tag_44,token_45,BIO_tag_45,token_46,BIO_tag_46,token_47,BIO_tag_47,token_48,BIO_tag_48,token_49,BIO_tag_49,token_50,BIO_tag_50,token_51,BIO_tag_51,token_52,BIO_tag_52,token_53,BIO_tag_53,token_54,BIO_tag_54,token_55,BIO_tag_55,token_56,BIO_tag_56,token_57,BIO_tag_57,token_58,BIO_tag_58,token_59,BIO_tag_59,token_60,BIO_tag_60,token_61,BIO_tag_61,token_62,BIO_tag_62,token_63,BIO_tag_63,token_64,BIO_tag_64,token_65,BIO_tag_65,token_66,BIO_tag_66,token_67,BIO_tag_67,token_68,BIO_tag_68,token_69,BIO_tag_69,token_70,BIO_tag_70,token_71,BIO_tag_71,token_72,BIO_tag_72,token_73,BIO_tag_73,token_74,BIO_tag_74,token_75,BIO_tag_75,token_76,BIO_tag_76,token_77,BIO_tag_77,token_78,BIO_tag_78,token_79,BIO_tag_79,token_80,BIO_tag_80,token_81,BIO_tag_81,token_82,BIO_tag_82,token_83,BIO_tag_83,token_84,BIO_tag_84,token_85,BIO_tag_85,token_86,BIO_tag_86,token_87,BIO_tag_87,token_88,BIO_tag_88,token_89,BIO_tag_89,token_90,BIO_tag_90,token_91,BIO_tag_91,token_92,BIO_tag_92,token_93,BIO_tag_93,token_94,BIO_tag_94,token_95,BIO_tag_95,token_96,BIO_tag_96,token_97,BIO_tag_97,token_98,BIO_tag_98
,O,,O,,O,,O,,O,,O,,O,,O,,O,(,O,,O,,O,,O,,O,56,O,,O,,O,,O,,O,,O,(,O,mengimbau,O,kasus,O,,O,,O,-,O,terus,O,Provinsi,O,demam,b-penyakit,8,O,Bekasi,b-lokasi,dengue,e-penyakit,COVID,O,dengue,e-penyakit,),O,,O,,O,,O,,O,,O,,O,,O,,O,,O,",",O,di,O,beberapa,O,kelurahan,b-lokasi,ketiga,O,korban,O,Desa,b-lokasi,gempa,O,3,O,warga,O,,O,terhadap,O,salah,O,ini,O,,O,,O,",",O,,O,daftar,O,pasien,O,,O,,O,Cianjur,e-lokasi,,O,(,O,Kelas,O,beban,O,),O,menular,O,dihimpun,O,sudah,O,bukanlah,O,,O,di,O,Pembangunan,O,di,O,Lombok,b-lokasi,di,O,dalam,O,,O,kawasan,O,seluruh,O,,O,di,O,masalah,O,Tengah,e-lokasi,",",O,data,O,,O,,O,,O,,O,,O,,O,-,O
Jawa,b-lokasi,Pencegahan,O,orang,e-korban,Dinas,O,karena,O,penyakit,O,Tasikmalaya,b-lokasi,demam,b-penyakit,Januari,b-waktu,,O,2020,e-waktu,dengue,e-penyakit,melanda,O,orang,O,),O,warga,e-korban,berdarah,e-penyakit,demam,b-penyakit,yang,O,kematian,O,DBD,b-penyakit,,O,,O,hingga,O,Guluh,O,27,b-waktu,,O,,O,,O,,O,,O,,O,-,O,,O,,O,Jalan,O,asal,O,gempa,O,Pertanian,O,pengungsi,O,Partai,O,Desa,b-lokasi,hari,O,Timur,e-lokasi,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,dan,O,,O,,O,,O,(,O,10,O,,O,menjadi,O,,O,,O,ini,O,penyakit,O,,O,TB,b-penyakit,Jokowi,O,,O,,O,,O,,O,,O,,O,,O,TBC,b-penyakit,,O,,O,,O,",",O,,O,,O,paniculata,O,,O,,O,Selatan,e-lokasi,,O,,O,",",O,,O,,O,Kota,O,kusta,b-penyakit,warga,e-korban,kusta,b-penyakit,kusta,b-penyakit,ini,O,gara,O
,O,,O,,O,,O,,O,,O,",",O,,O,,O,DBD,b-penyakit,",",O,,O,,O,,O,",",O,,O,,O,,O,,O,,O,),O,agar,O,DBD,b-penyakit,,O,,O,,O,terjadi,O,Jawa,b-lokasi,berdarah,i-penyakit,tahun,O,mengungkap,O,(,O,19,O,(,O,RI,O,,O,,O,,O,,O,,O,,O,,O,,O,",",O,putra,O,Kecamatan,b-lokasi,desa,O,Klatak,e-lokasi,bencana,O,tsunami,O,Buluh,i-lokasi,yang,O,desa,O,korban,O,,O,virus,O,satu,O,tercatat,O,ODHA,O,,O,diperkirakan,O,,O,negara,O,tuberkulosis,b-penyakit,",",O,,O,belum,O,),O,),O,II,O,penyakit,O,Tulungagung,b-lokasi,di,O,Kementerian,O,menjadi,O,penyakit,O,),O,Lombok,b-lokasi,Manusia,O,Lombok,b-lokasi,,O,Lombok,b-lokasi,menurunkan,O,),O,Afrika,O,wilayah,O,",",O,Pulau,b-lokasi,kesehatan,O,,O,Badan,O,dari,O,,O,,O,,O,,O,,O,,O,,O
Tengah,e-lokasi,dan,O,di,O,Kesehatan,O,demam,b-penyakit,demam,b-penyakit,,O,berdarah,i-penyakit,2020,e-waktu,),O,,O,(,O,kota,b-lokasi,warga,O,,O,Sumba,b-lokasi,di,O,berdarah,i-penyakit,terjadi,O,tertinggi,O,,O,,O,,O,5,b-waktu,Kota,b-lokasi,Januari,i-waktu,,O,,O,,O,,O,,O,DBD,b-penyakit,",",O,DBD,b-penyakit,,O,Kebon,O,Rusia,O,Lombok,O,Bogor,O,yang,O,Hanura,O,Bangunsari,e-lokasi,pasca,O,,O,,O,,O,,O,",",O,,O,,O,,O,,O,,O,,O,gatal,O,,O,,O,,O,),O,detik,O,,O,persoalan,O,,O,,O,,O,tuberkulosis,b-penyakit,,O,,O,,O,-,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,Nusa,b-lokasi,,O,,O,,O,,O,,O,,O,,O,,O,yang,O,,O,,O,Depok,b-lokasi,di,O,Kabupaten,b-lokasi,di,O,terbesar,O,tercatat,O,aksi,O
,O,,O,,O,,O,,O,,O,Jawa,b-lokasi,,O,",",O,,O,puluhan,O,,O,,O,,O,warga,O,,O,,O,,O,,O,,O,di,O,masyarakat,O,di,O,,O,,O,,O,di,O,Tengah,e-lokasi,dengue,e-penyakit,warga,O,penyebaran,O,),O,,O,),O,mencatat,O,,O,,O,,O,,O,,O,,O,",",O,-,O,Ngada,b-lokasi,Ketua,O,Abeli,e-lokasi,yang,O,,O,banjir,O,Selat,O,Cina,e-lokasi,tinggal,O,di,O,banjir,O,-,O,corona,O,daerah,O,menempati,O,,O,,O,67.000,b-korban,,O,dengan,O,yang,O,Pemerintah,O,,O,memiliki,O,di,O,berpesan,O,B,O,menular,O,menemukan,O,masyarakat,O,Kesehatan,O,bahaya,O,baru,O,adalah,O,terjangkit,O,dan,O,yang,O,,O,Barat,e-lokasi,angka,O,ternyata,O,dipilih,O,Indonesia,b-lokasi,berada,O,Pahawang,e-lokasi,di,O,,O,Penyelenggara,O,Direktorat,O,,O,,O,,O,,O,,O,,O,,O
menyebut,O,Penanggulangan,O,Jawa,b-lokasi,Kabupaten,b-lokasi,berdarah,i-penyakit,berdarah,e-penyakit,,O,dengue,e-penyakit,,O,menyebar,O,,O,DBD,b-penyakit,Depok,e-lokasi,Nusa,b-lokasi,,O,Timur,e-lokasi,Gresik,b-lokasi,dengue,e-penyakit,sejak,O,akibat,O,,O,,O,,O,Februari,i-waktu,Kolaka,e-lokasi,2015,e-waktu,,O,,O,,O,,O,,O,,O,angka,O,,O,,O,Pala,O,bernama,O,mulai,O,(,O,berobat,O,DKI,b-lokasi,,O,banjir,O,",",O,,O,",",O,,O,Kecamatan,b-lokasi,,O,,O,,O,,O,,O,,O,gatal,O,,O,,O,,O,rentan,O,dalam,O,,O,serius,O,,O,,O,,O,masih,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,Tenggara,i-lokasi,",",O,,O,,O,,O,,O,,O,",",O,,O,dikenal,O,,O,,O,mencatat,O,Indonesia,b-lokasi,Bangkalan,e-lokasi,Indonesia,b-lokasi,di,O,ada,O,mengemis,O
,O,,O,,O,,O,,O,,O,Barat,e-lokasi,,O,sebagian,O,,O,warga,O,),O,,O,,O,Kecamatan,b-lokasi,,O,",",O,,O,,O,,O,Kabupaten,b-lokasi,juga,O,Indonesia,O,,O,",",O,",",O,tengah,O,mengimbau,O,(,O,Kelurahan,b-lokasi,kasus,O,juga,O,,O,di,O,ada,O,",",O,,O,,O,IPB,O,,O,,O,Kecamatan,b-lokasi,,O,,O,Majelis,O,,O,ada,O,,O,di,O,Sunda,O,Kecamatan,b-lokasi,di,O,Porong,O,mengungsi,O,,O,yang,O,dengan,O,urutan,O,,O,,O,orang,e-korban,,O,jumlah,O,dirawat,O,Kabupaten,b-lokasi,,O,data,O,Indonesia,O,kepada,O,Tulungagung,O,yang,O,1.200,b-korban,memang,O,terungkap,O,kesehatan,O,di,O,penyakit,O,malaria,b-penyakit,Kebudayaan,O,terjangkit,O,,O,,O,kasus,O,tidak,O,untuk,O,bebas,O,dalam,O,,O,Indonesia,b-lokasi,,O,Jaminan,O,Jenderal,O,,O,,O,",",O,,O,,O,,O,,O
ada,O,Penyakit,O,Tengah,e-lokasi,Bekasi,e-lokasi,dengue,e-penyakit,(,O,",",O,(,O,,O,dan,O,,O,,O,dan,O,Tenggara,i-lokasi,,O,terkena,O,,O,(,O,2018,b-waktu,DBD,b-penyakit,,O,,O,,O,2016,e-waktu,,O,,O,,O,,O,DBD,b-penyakit,,O,,O,,O,kasus,O,,O,,O,,O,Boris,O,diserang,O,),O,ke,O,Jakarta,e-lokasi,,O,bandang,O,Sabu,b-lokasi,,O,Kota,b-lokasi,,O,Kalipuro,e-lokasi,,O,,O,,O,,O,",",O,,O,paling,O,,O,,O,,O,tertular,O,setiap,O,,O,di,O,,O,,O,,O,tinggi,O,,O,,O,,O,,O,,O,,O,,O,",",O,,O,,O,,O,",",O,,O,,O,Barat,e-lokasi,Nusa,b-lokasi,,O,,O,,O,,O,,O,Kabupaten,b-lokasi,,O,sebagai,O,,O,,O,sudah,O,mencemaskan,O,,O,masih,O,Jawa,b-lokasi,4.293,b-korban,ke,O
,O,,O,,O,,O,,O,,O,,O,DBD,b-penyakit,wilayah,O,,O,terjangkit,O,di,O,,O,,O,Bojongpicung,e-lokasi,,O,Jawa,b-lokasi,,O,,O,,O,Cirebon,e-lokasi,waspada,O,dari,O,",",O,Sulawesi,b-lokasi,sudah,O,pandemi,O,agar,O,),O,Setiamanah,e-lokasi,demam,b-penyakit,patut,O,,O,Kabupaten,b-lokasi,68,b-korban,Kampung,O,,O,,O,,O,,O,",",O,Patebon,e-lokasi,,O,,O,Syuro,O,,O,di,O,,O,Kota,b-lokasi,yang,O,Siak,i-lokasi,tenda,O,,O,ke,O,,O,saat,O,angka,O,ketiga,O,,O,,O,meninggal,O,,O,pasien,O,di,O,Magelang,e-lokasi,.,O,kasus,O,berdasarkan,O,kepala,O,ditemukan,O,cukup,O,kasus,e-korban,bertambah,O,,O,global,O,Indonesia,b-lokasi,serius,O,,O,(,O,malaria,b-penyakit,",",O,,O,malaria,b-penyakit,hanya,O,program,O,malaria,b-penyakit,zona,O,,O,yang,O,,O,Sosial,O,Pencegahan,O,,O,.,O,Jawa,b-lokasi,,O,,O,,O,,O
40,b-korban,(,O,meninggal,O,sepanjang,O,(,O,DBD,b-penyakit,terus,O,),O,,O,memakan,O,,O,,O,pergantian,O,Timur,e-lokasi,",",O,demam,b-penyakit,,O,DBD,b-penyakit,sampai,O,dicetak,O,",",O,,O,,O,,O,,O,,O,,O,,O,,O,",",O,,O,,O,demam,b-penyakit,,O,,O,,O,Osmanov,O,penyakit,O,telah,O,Rumah,O,,O,",",O,yang,O,Raijua,e-lokasi,,O,Kendari,e-lokasi,,O,menderita,O,,O,,O,,O,-,O,Sidoarjo,b-lokasi,,O,banyak,O,,O,,O,,O,penyakit,O,hari,O,,O,Kota,b-lokasi,,O,,O,,O,,O,,O,,O,,O,,O,,O,,O,.,O,angka,O,.,O,",",O,,O,petugas,O,Kemenko,O,,O,,O,Tenggara,i-lokasi,,O,,O,,O,,O,,O,Pesawaran,e-lokasi,,O,daerah,O,,O,,O,ada,O,,O,,O,cukup,O,Timur,e-lokasi,penderita,e-korban,jalan,O
